Coche,Link,Precio,Año,Kms,Combustible,Potencia,Puertas,Cambio
FORD - FOCUS SPORT 2. 0 CDTI,/ford-de-segunda-mano/ford-focus-sport-2-0-cdti-299101430.htm,2.300€,año 2006,277.000 kms,diesel,136 cv,3 puertas,manual
RENAULT - GRAND SCENIC 1. 9DCI AUTHENTIQU,/renault-de-segunda-mano/renault-grand-scenic-1-9dci-authentiqu-300031662.htm,4.900€,año 2007,159.000 kms,diesel,130 cv,5 puertas,manual
SEAT - LEON 2. 0 TDI STYLANCE / STYLE,/seat-de-segunda-mano/seat-leon-2-0-tdi-stylance-style-299814711.htm,5.500€,año 2008,175.000 kms,diesel,140 cv,5 puertas,manual
CITROEN - C4 GRAND PICASSO 2. 0HDI EXCLUS,/citroen-de-segunda-mano/citroen-c4-grand-picasso-2-0hdi-exclus-299586807.htm,6.500€,año 2007,165.000 kms,diesel,136 cv,5 puertas,automat
SEAT - LEON 1. 6 TDI 105CV STYLE,/seat-de-segunda-mano/seat-leon-1-6-tdi-105cv-style-294169479.htm,6.900€,año 2010,148.000 kms,diesel,105 cv,5 puertas,manual
FIAT - 500 1. 3 16V MULTIJET 75 CV SPORT,/fiat-de-segunda-mano/fiat-500-1-3-16v-multijet-75-cv-sport-288269403.htm,5.000€,año 2008,119.000 kms,diesel,75 cv,3 puertas,manual
PEUGEOT - 207 CONFORT 1. 6 HDI 90,/peugeot-de-segunda-mano/peugeot-207-confort-1-6-hdi-90-282915188.htm,5.000€,año 2010,154.000 kms,diesel,90 cv,5 puertas,manual
TOYOTA - VERSO 2. 0D4D 126CV 7PLAZAS,/toyota-de-segunda-mano/toyota-verso-2-0d4d-126cv-7plazas-299282587.htm,6.700€,año 2012,183.000 kms,diesel,126 cv,5 puertas,manual
FORD - KUGA 2. 0 TDCI TITANIUM,/ford-de-segunda-mano/ford-kuga-2-0-tdci-titanium-299844438.htm,6.990€,año 2010,250.000 kms,diesel,140 cv,5 puertas,manual
VOLKSWAGEN - GOLF 1. 6 SPORT,/volkswagen-de-segunda-mano/volkswagen-golf-1-6-sport-297822134.htm,4.990€,año 2006,110.000 kms,gasolina,115 cv,5 puertas,manual
BMW - SERIE 1 123D E81 NACIONAL,/bmw-de-segunda-mano/bmw-serie-1-123d-e81-nacional-297820166.htm,8.500€,año 2010,134.500 kms,diesel,205 cv,3 puertas,manual
PEUGEOT - PARTNER TEPEE PREMIUM 1. 6 112,/peugeot-de-segunda-mano/peugeot-partner-tepee-premium-1-6-112-299651888.htm,7.999€,año 2010,115.000 kms,diesel,112 cv,5 puertas,manual
VOLKSWAGEN - PASSAT CC 2. 0 TDI DSG 170,/volkswagen-de-segunda-mano/volkswagen-passat-cc-2-0-tdi-dsg-170-298329183.htm,9.800€,año 2009,305.000 kms,diesel,170 cv,4 puertas,automat
FORD - FIESTA 1. 6TDCI 90CV,/ford-de-segunda-mano/ford-fiesta-1-6tdci-90cv-297710500.htm,2.100€,año 2007,168.000 kms,diesel,90 cv,5 puertas,manual
VOLKSWAGEN - GOLF ADVANCE 1. 6 TDI 105CV BMT DSG,/volkswagen-de-segunda-mano/volkswagen-golf-advance-1-6-tdi-105cv-bmt-dsg-296097371.htm,10.990€,año 2013,160.000 kms,diesel,105 cv,3 puertas,automat
AUDI - A3 CABRIO 1. 8 TFSI ATTRACTION,/audi-de-segunda-mano/audi-a3-cabrio-1-8-tfsi-attraction-294878799.htm,11.900€,año 2010,98.000 kms,gasolina,160 cv,2 puertas,manual
MERCEDES-BENZ - CLASE B B 180 CDI SPORT EDITION,/mercedes-benz-de-segunda-mano/mercedes-benz-clase-b-b-180-cdi-sport-edition-292367531.htm,10.900€,año 2010,75.000 kms,diesel,109 cv,5 puertas,manual
MERCEDES-BENZ - CLASE A A 180 CDI ELEGANCE,/mercedes-benz-de-segunda-mano/mercedes-benz-clase-a-a-180-cdi-elegance-292367525.htm,5.990€,año 2009,170.000 kms,diesel,109 cv,5 puertas,manual
OPEL - ASTRA 1. 7 CDTI ENERGY SW,/opel-de-segunda-mano/opel-astra-1-7-cdti-energy-sw-298062421.htm,4.500€,año 2009,140.000 kms,diesel,110 cv,5 puertas,manual
