Coche,Link,Precio,Año,Kms,Combustible,Potencia,Puertas,Cambio,Localizacion
TOYOTA - TOYOTA YARIS ADVANCE,www.milanuncios.com/toyota-de-segunda-mano/toyota-toyota-yaris-advance-299164175.htm,6.500€,año 2014,127.000 kms,gasolina,100 cv,5 puertas,manual,tenerife
AUDI - AUDI A5 SPORTBACK 2. 0TDI 177CV,www.milanuncios.com/audi-de-segunda-mano/audi-audi-a5-sportback-2-0tdi-177cv-296166509.htm,18.400€,año 2014,148.000 kms,diesel,177 cv,5 puertas,automat,malaga
PEUGEOT - PARTNER TEPEE  1 AÑO GARANTÍA,www.milanuncios.com/peugeot-de-segunda-mano/peugeot-partner-tepee-1-ano-garantia-300379299.htm,6.500€,año 2011,180.000 kms,diesel,92 cv,5 puertas,manual,vizcaya
AUDI - A4SLINE,www.milanuncios.com/audi-de-segunda-mano/audi-a4sline-299524173.htm,14.400€,año 2014,160.000 kms,diesel,150 cv,5 puertas,automat,cordoba
FORD - RANGER XL 4X4,www.milanuncios.com/ford-de-segunda-mano/ford-ranger-xl-4x4-299288583.htm,16.999€,año 2014,65.000 kms,diesel,160 cv,5 puertas,manual,cordoba
BMW - SERIE 2 218D,www.milanuncios.com/bmw-de-segunda-mano/bmw-serie-2-218d-298935603.htm,15.999€,año 2015,73.000 kms,diesel,150 cv,5 puertas,manual,cordoba
VOLKSWAGEN - GOLF,www.milanuncios.com/volkswagen-de-segunda-mano/volkswagen-golf-296941274.htm,11.000€,año 2014,100.000 kms,diesel,105 cv,3 puertas,manual,cordoba
MINI - COOPER,www.milanuncios.com/mini-de-segunda-mano/mini-cooper-296839807.htm,10.999€,año 2015,140.000 kms,gasolina,136 cv,3 puertas,manual,cordoba
VOLKSWAGEN - TOURAN 1. 6 TDI 115CV IMPECABLE,www.milanuncios.com/volkswagen-de-segunda-mano/volkswagen-touran-1-6-tdi-115cv-impecable-294813889.htm,12.500€,año 2016,195.000 kms,diesel,115 cv,5 puertas,manual,tarragona
CITROEN - C ELYSEE 1. 2 I  SHINE,www.milanuncios.com/citroen-de-segunda-mano/citroen-c-elysee-1-2-i-shine-297406165.htm,11.400€,año 2019,80 kms,gasolina,72 cv,5 puertas,manual,barcelona
